data,Libya,Benghazi,Tripoli,Misrata,Aljufra,Ejdabia,Aljfara,Azzawya,Sebha,Alkufra,Murzuq
01/09/1991,0,0,0,1,0,0,0,0,0,0,0
01/09/1992,0,0,1,0,0,0,0,0,0,0,0
01/09/1993,0,0,1,0,0,0,0,0,0,0,0
01/09/1994,0,0,0,1,0,0,0,0,0,0,0
01/09/1996,0,0,0,1,0,0,0,0,0,0,0
01/09/2002,0,0,0,1,0,0,0,0,0,0,0
01/09/2006,0,0,0,1,0,0,0,0,0,0,0
01/09/2007,0,0,0,1,0,0,0,0,0,0,0
01/09/2010,0,0,0,0,0,0,0,0,1,0,0
01/10/1988,0,0,1,0,0,0,0,0,0,0,0
01/10/1989,0,0,1,0,0,0,0,0,0,0,0
01/10/2000,0,0,1,0,0,0,0,0,0,0,0
01/10/2006,0,0,0,0,0,1,0,0,0,0,0
01/10/2019,0,0,0,0,0,0,0,0,0,0,0
01/11/2001,0,0,0,1,0,0,0,0,0,0,0
01/11/2002,0,0,1,0,0,0,0,0,0,0,0
01/11/2008,0,0,1,0,0,0,0,0,0,0,0
01/11/2010,0,1,0,0,0,0,0,0,0,0,0
01/11/2011,0,0,1,0,0,0,0,0,0,0,0
01/11/2012,0,0,0,0,0,0,0,0,0,0,1
01/12/1985,0,0,0,0,0,0,0,0,0,0,0
01/12/2003,0,0,0,0,0,0,0,0,0,0,0
01/12/2007,0,0,0,0,0,0,0,0,0,0,0
01/12/2008,0,0,1,0,0,0,0,0,0,0,0
01/12/2009,0,0,0,1,0,0,0,0,0,0,0
01/12/2011,0,0,1,0,0,0,0,0,0,0,0
How many people live in your household (including the interviewee) in Libya?,"","","","","","","","","","",""
Average,2.81781140861467,2.08121827411167,3.26344086021505,3.98837209302326,1.54183266932271,1.35106382978723,5,3.68263473053892,1.93491124260355,4.08256880733945,3.89880952380952
How old are you?,"","","","","","","","","","",""
Average,33.1554132712456,32.492385786802,37.2634408602151,34.1627906976744,33.4940239043825,29.4840425531915,27,39.3173652694611,28.6863905325444,30.2018348623853,34.2321428571429
"For enumerator:
What is the sex of the respondent?","","","","","","","","","","",""
Male,92,97,66,73,100,99,50,94,100,98,100
Female,8,3,34,27,0,1,50,6,0,2,0
Infants 0-5years: (male),"","","","","","","","","","",""
Average,0.0983701979045402,0.0203045685279188,0.220430107526882,0.244186046511628,0.0796812749003984,0.0212765957446809,0.5,0.221556886227545,0.0236686390532544,0.036697247706422,0.0476190476190476
Children 6-14 years: (male),"","","","","","","","","","",""
Average,0.136204889406286,0.0406091370558376,0.236559139784946,0.226744186046512,0.0677290836653386,0.0265957446808511,0,0.562874251497006,0.029585798816568,0.0504587155963303,0.0654761904761905
Youth 15-17 years: (male),"","","","","","","","","","",""
Average,0.0983701979045402,0.0304568527918782,0.129032258064516,0.180232558139535,0.0278884462151394,0.0265957446808511,0,0.29940119760479,0.0650887573964497,0.00917431192660551,0.196428571428571
Adults 18-64: (male),"","","","","","","","","","",""
Average,1.82596041909197,1.77157360406091,1.1505376344086,1.68604651162791,1.04780876494024,1.07446808510638,1,1.22754491017964,1.75739644970414,3.69724770642202,3.0297619047619
Elderly 65+ years: (male),"","","","","","","","","","",""
Average,0.0157159487776484,0.0050761421319797,0.021505376344086,0.0523255813953488,0,0.00531914893617021,0,0.0359281437125748,0.00591715976331361,0,0.0297619047619048
nb_male,"","","","","","","","","","",""
Average,2.17403958090803,1.86802030456853,1.75806451612903,2.38953488372093,1.22310756972112,1.15425531914894,1.5,2.34730538922156,1.87573964497041,3.79357798165138,3.36904761904762
under18_male,"","","","","","","","","","",""
Average,0.332945285215367,0.0913705583756345,0.586021505376344,0.651162790697674,0.175298804780877,0.074468085106383,0.5,1.08383233532934,0.118343195266272,0.0963302752293578,0.30952380952381
over18_male,"","","","","","","","","","",""
Average,1.84109429569267,1.77664974619289,1.17204301075269,1.73837209302326,1.04780876494024,1.07978723404255,1,1.26347305389222,1.75739644970414,3.69724770642202,3.05952380952381
school_aged_boys,"","","","","","","","","","",""
Average,0.234575087310827,0.0710659898477157,0.365591397849462,0.406976744186047,0.0956175298804781,0.0531914893617021,0,0.862275449101796,0.0946745562130177,0.0596330275229358,0.261904761904762
Infants 0-5years: (female),"","","","","","","","","","",""
Average,0.0849825378346915,0.0101522842639594,0.231182795698925,0.197674418604651,0.0717131474103586,0.0159574468085106,1.5,0.18562874251497,0.0177514792899408,0.036697247706422,0.00595238095238095
Children 6-14 years: (female),"","","","","","","","","","",""
Average,0.10128055878929,0.0304568527918782,0.225806451612903,0.308139534883721,0.0637450199203187,0.0265957446808511,1,0.239520958083832,0,0.0321100917431193,0.0178571428571429
Youth 15-17 years: (female),"","","","","","","","","","",""
Average,0.0535506402793946,0.0101522842639594,0.0806451612903226,0.145348837209302,0.00796812749003984,0.0212765957446809,0.5,0.101796407185629,0,0.00458715596330275,0.148809523809524
Adults 18-64: (female),"","","","","","","","","","",""
Average,0.387660069848661,0.121827411167513,0.924731182795699,0.88953488372093,0.175298804780877,0.127659574468085,0.5,0.802395209580838,0.0414201183431953,0.215596330275229,0.357142857142857
Elderly 65+ years: (female),"","","","","","","","","","",""
Average,0.0122235157159488,0.0050761421319797,0.043010752688172,0.0581395348837209,0,0.00531914893617021,0,0.00598802395209581,0,0,0
nb_female,"","","","","","","","","","",""
Average,0.639697322467986,0.177664974619289,1.50537634408602,1.59883720930233,0.318725099601594,0.196808510638298,3.5,1.33532934131737,0.0591715976331361,0.288990825688073,0.529761904761905
under18_female,"","","","","","","","","","",""
Average,0.239813736903376,0.050761421319797,0.537634408602151,0.651162790697674,0.143426294820717,0.0638297872340425,3,0.526946107784431,0.0177514792899408,0.073394495412844,0.172619047619048
over18_female,"","","","","","","","","","",""
Average,0.39988358556461,0.126903553299492,0.967741935483871,0.947674418604651,0.175298804780877,0.132978723404255,0.5,0.808383233532934,0.0414201183431953,0.215596330275229,0.357142857142857
school_aged_girls,"","","","","","","","","","",""
Average,0.154831199068685,0.0406091370558376,0.306451612903226,0.453488372093023,0.0717131474103586,0.0478723404255319,1.5,0.341317365269461,0,0.036697247706422,0.166666666666667
nb_ind_hh,"","","","","","","","","","",""
Average,2.81373690337602,2.04568527918782,3.26344086021505,3.98837209302326,1.54183266932271,1.35106382978723,5,3.68263473053892,1.93491124260355,4.08256880733945,3.89880952380952
nb_under18,"","","","","","","","","","",""
Average,0.572759022118743,0.142131979695431,1.12365591397849,1.30232558139535,0.318725099601594,0.138297872340426,3.5,1.61077844311377,0.136094674556213,0.169724770642202,0.482142857142857
nb_over18,"","","","","","","","","","",""
Average,2.24097788125728,1.90355329949239,2.13978494623656,2.68604651162791,1.22310756972112,1.21276595744681,1.5,2.07185628742515,1.79881656804734,3.91284403669725,3.41666666666667
Are you currently pregnant?,"","","","","","","","","","",""
No,90,100,95,85,,0,100,90,,80,
Yes,9,0,3,15,,50,0,10,,20,
Don't know,1,0,2,0,,50,0,0,,0,
male,"","","","","","","","","","",""
Average,0.174621653084983,0.0862944162436548,0.161290322580645,0.406976744186047,0,0,0,0.203592814371257,0.0828402366863905,0.018348623853211,0.779761904761905
female,"","","","","","","","","","",""
Average,0.0983701979045402,0,0.112903225806452,0.313953488372093,0,0.0106382978723404,0,0.0898203592814371,0,0.0596330275229358,0.380952380952381
"1. Cereals, grains, and tubers (including wheat bread, pasta, rice, couscous, potatoes, etc.)","","","","","","","","","","",""
Average,5.76775320139697,6.81218274111675,5.39784946236559,5.09302325581395,5.81274900398406,5.01063829787234,6.5,5.2874251497006,6.43786982248521,5.30275229357798,6.82142857142857
"2. Legumes and nuts (including beans, chickpeas, peas, nuts, etc.)","","","","","","","","","","",""
Average,3.44179278230501,6.30964467005076,2.74193548387097,2.30232558139535,2.38645418326693,3.87765957446809,1,4.34730538922156,2.2189349112426,3.49082568807339,3.4047619047619
"3. Milk and dairy products (including milk, cheese, sour cream, yoghurt, etc.)","","","","","","","","","","",""
Average,4.09487776484284,6.18781725888325,4.08064516129032,4.49418604651163,2.67729083665339,3.89893617021277,1,5.07185628742515,5.36094674556213,2.28440366972477,3.72619047619048
"4. Eggs, meat, fish (including beef, chicken, lamb, canned fish, fresh fish, etc.)","","","","","","","","","","",""
Average,3.37543655413271,6.07106598984772,3.67741935483871,3.65697674418605,1.38247011952191,2.82978723404255,5,3.75449101796407,4.39644970414201,2.81651376146789,2.48214285714286
"5. Vegetables and leaves (including onions, lettuce, tomatoes, cucumbers, red peppers, spinach, etc.)","","","","","","","","","","",""
Average,5.41909196740396,6.88832487309645,5.14516129032258,5.27906976744186,6.20318725099602,5.77127659574468,1,6.74251497005988,5.6508875739645,2.63302752293578,4.69642857142857
"6. Fruits (including bananas, apples, cherries, dates, lemons, apricots, pears, etc.)","","","","","","","","","","",""
Average,2.04132712456345,4.89847715736041,2.40322580645161,2.03488372093023,0.788844621513944,2.76595744680851,0.5,2.05988023952096,0.85207100591716,1.30733944954128,1.50595238095238
"7. Oil and fat (including vegetable oil, butter, margarine, lard, etc.)","","","","","","","","","","",""
Average,5.16181606519208,6.45177664974619,5.52688172043011,5.32558139534884,5.66533864541833,3.97340425531915,4,6.10778443113772,6.2189349112426,1.22018348623853,6.77976190476191
"8. Sugar and sweets (including sugar, honey, jam, cakes, cookies, sweets, sugary drinks, etc.)","","","","","","","","","","",""
Average,4.63504074505239,5.90862944162437,4.62365591397849,4.67441860465116,4.36254980079681,4.12765957446809,4,5.68263473053892,3.85207100591716,2.3348623853211,6.82738095238095
"9. Condiments and spices (including garlic, tomato paste, and small quantities of items from other food groups)","","","","","","","","","","",""
Average,5.07043073341094,6.63451776649746,4.93010752688172,5.20348837209302,5.83665338645418,3.95744680851064,4,4.98203592814371,6.62130177514793,1.22935779816514,6.88095238095238
What are the top three sources from which you typically acquire food?,"","","","","","","","","","",""
Own production,4,1,5,6,2,0,0,1,2,3,17
"Received as food aid through government, UN, NGOs, civil society, etc.",2,0,12,1,0,2,0,4,1,0,2
Received as gift from friends or relatives,13,7,25,15,2,37,0,11,4,12,3
Market (purchased with cash) ,96,99,87,95,99,96,50,98,96,96,96
Market (purchased on credit),14,7,15,16,0,23,50,40,6,16,5
Market (purchased with cheque),1,1,0,0,0,5,0,0,0,0,1
Work or barter for food,6,4,9,8,0,11,0,11,0,5,5
"Gathering, hunting, or fishing",1,1,1,0,0,0,0,7,0,1,0
"Borrowing food from relatives, hosts, or external parties",4,1,6,8,0,5,0,11,4,1,1
Zakat,3,0,3,1,2,0,50,1,5,0,21
Other (please specify),1,3,1,5,0,1,0,1,0,0,1
Don't know,0,0,0,0,0,0,0,0,0,0,0
Prefer not to answer,0,0,0,0,0,0,0,0,0,0,0
"1. Rely on less preferred, less expensive food?","","","","","","","","","","",""
Average,2.48428405122235,2,3.66666666666667,2.57558139534884,4.03187250996016,1.93085106382979,0,2.4251497005988,2.0887573964497,2.45871559633028,0.476190476190476
2. Borrow food or rely on help from friends or relatives?,"","","","","","","","","","",""
Average,0.546565774155995,0.0406091370558376,1.37634408602151,0.523255813953488,0.127490039840637,0.297872340425532,3.5,0.81437125748503,0.982248520710059,0.454128440366972,0.529761904761905
3. Reduce the number of meals eaten per day?,"","","","","","","","","","",""
Average,1.4743888242142,0.0355329949238579,3.26881720430108,1.7093023255814,1.54183266932271,0.398936170212766,3.5,2.34730538922156,1.49704142011834,1.97706422018349,0.470238095238095
4. Reduce the size of portions or meals?,"","","","","","","","","","",""
Average,1.5337601862631,0,3.3494623655914,1.82558139534884,1.67330677290837,0.393617021276596,3.5,2.32934131736527,1.43786982248521,2.1743119266055,0.541666666666667
5. Reduce the quantity consumed by adults so children could eat?,"","","","","","","","","","",""
Average,0.40454016298021,0,1.73118279569892,0.622093023255814,0,0.0797872340425532,3.5,0.640718562874252,0.171597633136095,0.142201834862385,0.458333333333333
"Have you engaged in agricultural production (crop farming, gardening, livestock production, raising animals, fishing, etc.) for income generation or food consumption during the past year?","","","","","","","","","","",""
No,87,90,95,92,97,97,50,65,92,85,65
"Yes, crop production",8,8,3,5,3,1,50,21,5,4,27
"Yes, livestock production",7,7,1,2,0,1,50,18,4,13,16
"Yes, fishing/fisheries",0,0,1,0,0,1,0,3,0,0,0
Other (please specify),1,0,2,2,0,0,0,4,0,0,1
Don't know,0,0,0,0,0,0,0,0,0,0,1
Prefer not to answer,0,0,1,0,0,0,0,0,0,0,0
What type of shelter do you live in?,"","","","","","","","","","",""
House,41,37,40,38,40,50,100,38,29,75,11
Apartment (including one-room apartments),23,31,35,27,42,9,0,28,13,9,8
Unfinished room(s),22,8,14,28,17,15,0,17,34,3,75
"Private building not usually used for shelter (basement, garage, store, warehouse, work site, etc.)",8,11,4,5,0,21,0,11,7,11,2
Connection house,3,12,1,0,0,2,0,5,0,2,4
"Public building not usually used for shelter (school, mosque, etc.)",1,2,3,0,0,3,0,0,4,0,0
Camp or informal settlement for displaced persons,1,0,0,0,0,0,0,0,12,0,0
Prefer not to answer,0,0,2,0,0,0,0,0,0,0,0
Temporary shelter provided by INGO or local NGO,0,0,0,1,0,1,0,1,0,0,0
Other (please specify),0,0,0,0,0,0,0,0,1,0,0
Outdoors (no shelter at all),0,0,1,0,0,0,0,0,1,0,0
Tent or caravan,0,0,1,0,0,0,0,0,0,0,1
Hotel,0,0,0,0,0,1,0,0,0,0,0
How many rooms are in your shelter?,"","","","","","","","","","",""
Average,2.15540540540541,1.81208053691275,2.06024096385542,2.23456790123457,2.04838709677419,2.23021582733813,3,2.83453237410072,2.47154471544715,1.95876288659794,1.9873417721519
How would you describe your occupancy status?,"","","","","","","","","","",""
Rental (with verbal agreement),63,32,72,69,76,50,50,50,67,74,72
Housing provided by employer,22,41,10,16,20,41,0,23,12,18,20
Rental (with written contract),5,13,5,5,0,2,0,19,0,0,5
Being hosted for free (not including by employer),4,10,6,3,3,4,50,2,5,3,2
Housing provided by public authority,2,0,4,0,0,3,0,0,14,1,1
Ownership ,1,3,1,5,0,1,0,1,1,0,0
Housing provided by smuggler,1,1,0,0,0,0,0,5,1,3,0
Squatting (without consent of owner),0,0,0,1,0,1,0,0,0,0,0
Living in the streets or public space,0,0,1,0,0,0,0,0,0,0,0
Don't know,0,0,1,0,0,0,0,0,0,0,0
Prefer not to answer,0,0,1,0,0,0,0,0,0,0,0
Other (please specify),0,0,0,0,0,0,0,0,0,0,1
How much does your rental property cost per month (in LYD)?,"","","","","","","","","","",""
Average,349.286995515695,332.444444444444,436.241134751773,377.125,397.591623036649,344.020618556701,350,443.652173913043,302.743362831858,206.923076923077,259
Has the rent increased or decreased since the beginning of 2019?,"","","","","","","","","","",""
No change,74,82,60,64,98,77,100,63,86,65,69
Increased,21,18,33,33,2,18,0,30,10,26,25
Decreased,3,0,3,2,1,1,0,7,1,7,0
Don't know,2,0,3,1,0,4,0,0,4,2,6
Prefer not to answer,0,0,0,0,0,0,0,1,0,0,0
Who is hosting you for free?,"","","","","","","","","","",""
Libyan friend,50,60,36,50,75,29,0,100,38,17,67
Migrant friend,38,30,36,0,12,71,100,0,62,83,33
Family member,8,10,9,33,12,0,0,0,0,0,0
Other (please specify),4,0,18,17,0,0,0,0,0,0,0
What are your main shelter-related concerns?,"","","","","","","","","","",""
no shelter related concerns,51,92,27,42,44,51,50,40,41,49,77
There is no shelter,4,1,10,4,0,2,50,0,2,17,1
Shelters are overcrowded,17,4,15,19,22,26,0,9,34,17,9
Homes are so damaged that they are uninhabitable,5,0,13,10,3,9,0,4,2,7,1
Unexploded remnants of war and landmines,0,0,0,1,0,0,0,0,0,0,0
Building materials to repair shelters are unavailable,2,0,3,3,1,3,0,6,3,0,1
Building services/skills are unavailable,2,0,1,2,1,2,0,1,4,3,0
Lack of access to basic utilities,6,2,2,4,21,3,0,3,2,3,4
Partial access to basic utilities,8,1,2,6,24,2,0,22,1,0,10
Lack of basic household items,12,2,9,7,33,13,0,31,4,4,4
Lack of privacy,12,3,22,12,8,22,0,19,20,3,1
"Lack of gender-sensitive WASH facilities (bathing, washing, toilet, etc)",4,0,13,8,0,2,0,10,2,0,0
Insecurity or conflict,8,0,27,15,0,1,0,15,7,10,0
Other (please specify),0,1,1,1,0,0,0,1,0,0,1
Don't know,0,0,1,1,0,1,0,0,0,1,1
Prefer not to answer,0,0,2,1,0,0,0,1,1,1,0
How would you describe the overall condition of your shelter? Please refer to the reference pictures below.,"","","","","","","","","","",""
No damage / negligible damage,51,78,47,61,18,70,100,45,45,51,55
"Light damage (repairs needed, but shelter is livable)",37,19,34,34,75,11,0,48,38,30,39
Medium damage,10,4,17,5,7,14,0,7,17,16,7
Heavy damage (shelter is not livable without repairs),1,0,1,0,0,5,0,0,0,2,0
Destroyed (shelter needs to be reconstructed),0,0,0,0,0,0,0,0,0,1,0
Who do you live with?,"","","","","","","","","","",""
I live alone,10,36,4,5,6,11,0,11,4,1,12
I live with family,25,10,56,46,16,10,50,72,5,8,12
I live with Libyan friends,1,2,0,0,1,1,0,0,1,2,1
I live with migrant friends,47,40,23,41,65,46,50,11,39,72,70
I live with colleagues,14,13,5,5,12,35,0,5,21,0,38
I live with my employer,2,1,1,1,0,1,0,2,2,2,8
I live with my landlord,0,0,1,1,0,1,0,0,0,0,1
I live with other refugees/migrants that I did not previously know,9,0,15,2,0,10,0,1,28,27,1
I live with Libyans that I did not previously know,0,0,1,0,0,0,0,0,0,0,0
Other (please specify),0,0,0,0,0,0,0,0,0,0,0
Don't know,0,0,0,0,0,0,0,0,0,0,0
Prefer not to answer,0,0,1,0,0,0,0,0,0,0,1
How many people do you share your accommodation with?,"","","","","","","","","","",""
Average,5.04826254826255,3.2109375,7.53107344632768,4.07361963190184,9.26808510638298,6.85119047619048,4.5,2.9261744966443,3.80981595092025,2.26851851851852,3.6078431372549
Is your cooking space separated from the rest of your living space?,"","","","","","","","","","",""
Yes,57,69,58,69,8,72,100,74,76,57,48
No,43,31,41,31,92,28,0,26,24,41,51
Don't know,0,0,0,0,0,0,0,1,0,1,0
Prefer not to answer,0,0,1,0,0,0,0,0,0,0,1
What is the total area (m²) of your accommodation (excluding the cooking space and bathing/toilet facilities if they are separate)?,"","","","","","","","","","",""
Average,54.1928904428904,43.8781725888325,87.0756756756757,72.8197674418605,59.7250996015936,41.7446808510638,180,121.826347305389,15.9702380952381,18.4311926605505,32.5714285714286
What are the biggest challenges you face in accessing shelter?,"","","","","","","","","","",""
Do not face any challenges ,43,86,17,33,61,43,50,14,22,40,61
Do not have the appropriate documents ,16,5,12,6,29,21,0,40,16,10,2
Do not have enough money ,24,7,51,39,2,32,50,35,20,27,17
Discrimatory treatment/Landlords do not trust me ,6,1,16,2,1,1,0,14,15,5,0
Do not have the right contacts to find a place ,4,1,5,2,0,5,0,5,18,1,3
Fear of being overcharged ,26,5,20,37,27,34,0,41,21,34,18
Lack of information about finding shelter,8,1,9,6,2,8,0,4,15,20,4
Lack of freedom of movement,8,3,10,2,3,2,0,17,9,4,26
Tensions with host community,8,0,10,6,0,6,0,19,7,20,4
"Safety and security concerns (threat, danger, etc)",8,1,17,15,0,3,0,20,4,6,6
Other (please specify),0,0,0,0,1,1,0,0,0,1,1
Don't know,0,0,2,1,0,0,0,0,0,0,0
Prefer not to answer,0,0,1,0,0,0,0,0,0,0,0
Have you experienced eviction or the threat of eviction within the past 6 months?,"","","","","","","","","","",""
No,90,96,62,88,99,92,50,82,93,95,94
"Yes, have been threatened with eviction",7,3,26,6,1,6,0,17,3,0,2
"Yes, have been recently evicted",3,1,10,5,0,2,50,1,1,4,0
Don't know,1,1,1,1,0,0,0,0,1,1,2
Prefer not to answer,1,0,1,0,0,0,0,0,1,0,2
Why do you think you were evicted / threatened with eviction?,"","","","","","","","","","",""
"Forced eviction, i.e. from armed group pressure or land-grabbing",14,0,20,11,0,0,0,17,0,0,67
Land acquisitions,2,0,0,5,0,0,0,7,0,0,0
Clearance of camp/public space by authorities,8,0,3,0,0,67,0,0,0,0,0
Discrimination based on ethnicity/tribe,10,0,9,21,50,0,0,13,0,0,0
Cannot afford rent,37,67,53,37,50,13,100,23,14,0,0
No documentation to prove legal ownership,18,17,3,11,0,27,0,43,29,50,0
Punitive or retaliatory actions,0,0,0,0,0,0,0,0,0,0,0
Authorities requested that you leave ,2,0,2,0,0,7,0,3,0,0,0
Host family no longer able to host our family,4,0,3,5,0,0,0,13,0,0,0
Request to vacate from owner of buidling/land,25,17,24,26,0,20,0,27,43,50,0
Lack of rental contract ,2,0,0,11,0,0,0,0,0,12,0
Lack of required documents,6,0,3,0,0,7,0,17,29,0,0
Other (please specify),2,0,0,0,0,7,0,0,0,12,33
Don't know,1,0,0,11,0,0,0,0,0,0,0
Prefer not to answer,0,0,0,0,0,0,0,0,0,0,0
1. Mattresses,"","","","","","","","","","",""
I own this but need another / more,51,54,53,67,86,35,0,26,46,60,17
I own enough of this and do not need more,42,43,27,22,14,61,50,74,46,35,70
I do not own this object,7,3,20,10,0,5,50,0,8,5,12
Don't know,0,0,0,0,0,0,0,0,0,0,1
Prefer not to answer,0,0,0,0,0,0,0,0,0,0,1
2. Blankets,"","","","","","","","","","",""
I own this but need another / more,44,52,44,66,41,40,50,20,49,60,18
I own enough of this and do not need more,42,47,31,22,14,57,0,80,48,32,67
I do not own this object,14,2,25,12,45,3,50,0,3,8,14
Don't know,0,0,0,0,0,0,0,0,0,0,1
Prefer not to answer,0,0,0,0,0,0,0,0,0,0,1
"3. Bedding items (sheets, pillows)","","","","","","","","","","",""
I own enough of this and do not need more,42,44,27,24,13,60,0,79,28,53,64
I own this but need another / more,39,55,39,52,38,36,50,19,54,39,14
I do not own this object,19,1,33,24,48,4,50,2,18,8,21
Prefer not to answer,0,0,0,0,0,0,0,0,0,0,1
Don't know,0,0,0,0,0,0,0,0,0,0,1
Other (please specify),0,0,1,0,0,0,0,0,0,0,0
4. Clothing for cold weather,"","","","","","","","","","",""
I own this but need another / more,43,52,33,53,65,22,0,31,62,49,10
I own enough of this and do not need more,33,47,19,21,12,65,0,66,20,13,45
I do not own this object,24,1,47,26,22,12,100,3,18,38,44
Don't know,0,0,0,0,0,0,0,0,0,0,1
Prefer not to answer,0,0,1,0,0,0,0,0,0,0,0
5. Heating systems,"","","","","","","","","","",""
I do not own this object,63,20,62,66,80,74,50,38,61,80,78
I own this but need another / more,20,42,18,19,14,14,50,32,24,15,4
I own enough of this and do not need more,17,38,19,16,6,12,0,30,15,5,17
Don't know,0,0,0,0,0,0,0,0,0,0,1
Other (please specify),0,0,1,0,0,0,0,0,0,0,0
6. Gas/electric stove ,"","","","","","","","","","",""
I own this but need another / more,45,49,41,47,83,54,50,25,43,38,4
I own enough of this and do not need more,38,48,31,38,14,38,0,59,51,23,61
I do not own this object,17,3,26,16,3,8,50,17,6,39,34
Prefer not to answer,0,0,2,0,0,0,0,0,0,0,0
Don't know,0,0,0,0,0,0,0,0,0,0,1
Other (please specify),0,0,0,0,0,0,0,0,0,0,0
7. Cooking set/items                                   ,"","","","","","","","","","",""
I own this but need another / more,52,52,47,65,89,45,50,43,51,47,17
I own enough of this and do not need more,38,44,26,24,9,49,0,51,44,44,66
I do not own this object,9,5,27,11,2,6,50,5,5,10,17
Don't know,0,0,0,0,0,0,0,1,0,0,1
Prefer not to answer,0,0,1,0,0,0,0,0,0,0,0
8. Mosquito nets                                                     ,"","","","","","","","","","",""
I do not own this object,80,41,91,91,86,89,100,72,80,86,85
I own this but need another / more,10,29,5,5,6,6,0,15,12,10,2
I own enough of this and do not need more,10,30,4,4,8,5,0,13,8,4,12
Don't know,0,0,0,0,0,0,0,0,0,0,1
Other (please specify),0,1,0,0,0,0,0,0,0,0,0
"9. Water storage containers (water tank, jerry cans, etc.)","","","","","","","","","","",""
I own enough of this and do not need more,35,46,24,35,3,59,0,64,30,25,47
I own this but need another / more,33,29,30,42,8,26,0,34,63,59,17
I do not own this object,31,24,46,22,89,15,100,2,8,17,36
Don't know,0,0,0,1,0,0,0,0,0,0,0
10. Solar lamp,"","","","","","","","","","",""
I do not own this object,77,42,92,91,87,81,100,84,25,88,94
I own this but need another / more,14,29,3,5,12,13,0,7,47,9,2
I own enough of this and do not need more,9,29,5,3,0,6,0,10,28,3,4
Don't know,0,0,0,0,0,1,0,0,0,0,0
Other (please specify),0,0,1,0,0,0,0,0,0,0,0
11. Mobile phone (smart phone),"","","","","","","","","","",""
I own enough of this and do not need more,41,45,37,34,52,27,0,55,57,6,68
I do not own this object,31,14,48,38,30,40,50,16,14,57,18
I own this but need another / more,27,42,15,28,18,33,50,29,30,37,14
12. Mobile phone (non-smart phone),"","","","","","","","","","",""
I do not own this object,56,32,47,47,74,48,100,72,77,42,71
I own enough of this and do not need more,23,31,25,33,16,40,0,8,19,17,25
I own this but need another / more,20,37,27,20,10,12,0,20,4,41,4
Don't know,0,0,0,1,0,0,0,0,0,0,0
Prefer not to answer,0,0,1,0,0,0,0,0,0,0,0
Radio,"","","","","","","","","","",""
I do not own this object,69,47,93,75,73,73,100,55,60,66,81
I own enough of this and do not need more,20,25,5,19,27,17,0,36,31,9,9
I own this but need another / more,11,27,2,6,1,10,0,9,9,25,10
TV,"","","","","","","","","","",""
I do not own this object,43,20,56,37,71,54,100,8,30,38,58
I own enough of this and do not need more,34,44,28,31,16,20,0,84,51,10,41
I own this but need another / more,23,37,15,32,13,27,0,7,19,52,1
Other (please specify),0,0,1,0,0,0,0,0,0,0,0
15. Desktop or laptop computer,"","","","","","","","","","",""
I do not own this object,88,65,90,95,96,95,100,90,75,96,87
I own enough of this and do not need more,7,19,4,4,3,3,0,9,13,0,13
I own this but need another / more,5,16,5,1,1,2,0,1,12,3,0
Prefer not to answer,0,0,1,0,0,0,0,1,0,0,0
Don't know,0,0,1,0,0,0,0,0,0,0,0
16. Generator,"","","","","","","","","","",""
I do not own this object,93,83,94,95,98,96,100,98,87,95,89
I own enough of this and do not need more,4,7,4,3,1,3,0,1,4,1,11
I own this but need another / more,3,10,2,2,1,1,0,0,8,3,1
Other (please specify),0,1,0,0,0,0,0,0,1,0,0
Don't know,0,0,0,0,0,0,0,1,0,0,0
Prefer not to answer,0,0,0,0,0,0,0,0,0,0,0
17. Construction materials and equipment,"","","","","","","","","","",""
I do not own this object,74,73,95,92,93,41,100,58,67,79,59
I own enough of this and do not need more,14,7,2,4,4,51,0,14,11,1,36
I own this but need another / more,12,20,2,3,2,9,0,28,22,19,5
Don't know,0,0,1,0,0,0,0,0,0,0,0
Prefer not to answer,0,0,1,0,0,0,0,0,0,0,0
18. Carpets,"","","","","","","","","","",""
I do not own this object,39,29,37,26,76,18,100,13,18,40,83
I own this but need another / more,34,40,41,55,14,27,0,40,49,42,9
I own enough of this and do not need more,26,31,22,20,9,56,0,47,33,17,8
Prefer not to answer,0,0,0,0,0,0,0,0,0,0,0
Have you worked in any of the following types of jobs in the past 30 days?,"","","","","","","","","","",""
Did not work outside the home in the past 30 days,6,1,22,15,0,1,50,0,3,2,9
Permanent job with annual/monthly/weekly wage,0.314901047729919,68,19,0.313953488372093,15,43,0,37,31,29,13
Temporary job with weekly/daily/monthly wage,25,9,21,20,39,24,0,43,13,34,19
Daily labour,42,37,43,33,45,38,0,61,49,33,44
Other (please specify),2,0,0,2,0,1,50,2,4,1,9
Don't know,0,0,0,1,0,0,0,0,0,0,1
Prefer not to answer,1,0,0,1,0,0,0,0,1,0,5
Have you worked for the following types of institutions in the past 30 days?,"","","","","","","","","","",""
Libyan-owned business (private sector),25,34,26,40,15,28,0,63,9,5,8
Foreign-owned business (private sector),2,5,3,1,0,2,0,2,1,0,0
"Libyan non-profit sector (Libyan NGO, civil society organization, etc.)",0,0,1,1,0,0,0,0,0,0,1
"International non-profit sector (international NGO, UN agency, etc.)",1,1,6,0,0,0,0,1,0,0,0
Own business or family business,24,39,6,3,38,5,0,47,25,8,39
