data,Libya,no,yes
I own enough of this and do not need more,41.7,52.6,28.2
I do not own this object,6.8,3.8,10.2
Don't know,0.1,0.1,0
Prefer not to answer,0.1,0.1,0
2. Blankets,"","",""
I own this but need another / more,44,42.3,45.7
I own enough of this and do not need more,42.3,53.4,28.4
I do not own this object,13.6,4.2,25.9
Don't know,0.1,0,0
Prefer not to answer,0.1,0.1,0
"3. Bedding items (sheets, pillows)","","",""
I own enough of this and do not need more,42.3,53.1,28.8
I own this but need another / more,38.9,38.7,38.8
I do not own this object,18.6,8.1,32.1
Prefer not to answer,0.1,0.1,0.1
Don't know,0.1,0,0
Other (please specify),0.1,0,0.1
4. Clothing for cold weather,"","",""
I own this but need another / more,43.2,43.5,42.7
I own enough of this and do not need more,32.9,41.2,22.6
I do not own this object,23.7,15.3,34.6
Don't know,0.1,0,0
Prefer not to answer,0.1,0,0.1
5. Heating systems,"","",""
I do not own this object,62.9,53.3,75.6
I own this but need another / more,20,24.5,13.8
I own enough of this and do not need more,17,22.2,10.5
Don't know,0.1,0,0
Other (please specify),0.1,0,0.1
6. Gas/electric stove ,"","",""
I own this but need another / more,44.7,40,50.7
I own enough of this and do not need more,38.5,45.5,29.9
I do not own this object,16.5,14.3,19.1
Prefer not to answer,0.2,0.2,0.1
Don't know,0.1,0,0
Other (please specify),0.1,0,0.1
7. Cooking set/items                                   ,"","",""
I own this but need another / more,52.3,49.7,56.2
I own enough of this and do not need more,38.2,44.3,30.6
I do not own this object,9.3,5.9,13.1
Don't know,0.1,0.1,0
Prefer not to answer,0.1,0,0.1
8. Mosquito nets                                                     ,"","",""
I do not own this object,80,74.2,87.9
I own this but need another / more,10.1,12.7,6.3
I own enough of this and do not need more,9.8,13,5.8
Don't know,0.1,0,0
Other (please specify),0.1,0.1,0
"9. Water storage containers (water tank, jerry cans, etc.)","","",""
I own enough of this and do not need more,35.2,42.3,26
I own this but need another / more,33.5,35.9,29.9
I do not own this object,31.3,21.9,43.9
Don't know,0.1,0,0.1
10. Solar lamp,"","",""
I do not own this object,76.7,71.5,83.3
I own this but need another / more,13.9,16.1,10.7
I own enough of this and do not need more,9.4,12.3,5.8
Don't know,0.1,0,0.1
Other (please specify),0.1,0.1,0
11. Mobile phone (smart phone),"","",""
I own enough of this and do not need more,41.3,41.5,41.3
I do not own this object,31.5,26.6,37.9
I own this but need another / more,27.2,31.9,20.8
12. Mobile phone (non-smart phone),"","",""
I do not own this object,56.5,57.4,55
I own enough of this and do not need more,23.4,22.9,24.2
I own this but need another / more,20,19.6,20.8
Don't know,0.1,0,0
Prefer not to answer,0.1,0.1,0
Radio,"","",""
I do not own this object,69.2,66.2,73
I own enough of this and do not need more,19.8,20.8,18.5
I own this but need another / more,11.1,13,8.5
TV,"","",""
I do not own this object,42.8,34.8,53.3
I own enough of this and do not need more,34.2,38.2,29.2
I own this but need another / more,23,26.9,17.4
Other (please specify),0.1,0,0.1
15. Desktop or laptop computer,"","",""
I do not own this object,88.1,84.6,92.6
I own enough of this and do not need more,7.2,9.3,4.4
I own this but need another / more,4.5,6,2.8
Prefer not to answer,0.1,0.1,0.1
Don't know,0.1,0,0.1
16. Generator,"","",""
I do not own this object,93.1,91.3,95.3
I own enough of this and do not need more,3.7,4.5,2.6
I own this but need another / more,3,3.7,2.1
Other (please specify),0.1,0.2,0
Don't know,0.1,0.1,0
Prefer not to answer,0.1,0.1,0
17. Construction materials and equipment,"","",""
I do not own this object,74.2,69.1,81
I own enough of this and do not need more,13.6,15.1,12
I own this but need another / more,12,15.9,6.7
Don't know,0.1,0,0.1
Prefer not to answer,0.1,0,0.1
18. Carpets,"","",""
I do not own this object,39.4,29.4,52.3
I own this but need another / more,34.4,37.6,30
I own enough of this and do not need more,26.1,32.9,17.6
Prefer not to answer,0.1,0.1,0
Have you worked in any of the following types of jobs in the past 30 days?,"","",""
Did not work outside the home in the past 30 days,6,3,10
Permanent job with annual/monthly/weekly wage,0.314901047729919,0.44020618556701,16
Temporary job with weekly/daily/monthly wage,25,21,32
Daily labour,42,40,45
Other (please specify),2,1,3
Don't know,0,0,0
Prefer not to answer,1,1,1
Have you worked for the following types of institutions in the past 30 days?,"","",""
Libyan-owned business (private sector),25,31,15
Foreign-owned business (private sector),2,2,1
"Libyan non-profit sector (Libyan NGO, civil society organization, etc.)",0,0,0
"International non-profit sector (international NGO, UN agency, etc.)",1,1,1
Own business or family business,24,22,27
Informal or irregular labour,55,52,58
Other (please specify),2,3,2
Don't know,3,1,6
Prefer not to answer,1,1,0
1. Permanent full time  with annual/monthly/weekly wage,"","",""
Average,0.0465686274509804,0.053921568627451,0.0348258706467662
2. Temporary job with weekly/daily/monthly wage,"","",""
Average,0.0612745098039216,0.0490196078431373,0.0696517412935323
3. Daily labour,"","",""
Average,0.105392156862745,0.151960784313725,0.0597014925373134
type_jobs_minors_calc,"","",""
Average,0.213235294117647,0.254901960784314,0.164179104477612
1. Farming/ agriculture work,"","",""
Average,0.196969696969697,0.184210526315789,0.222222222222222
2. Factory work/manufacturing of products,"","",""
Average,0.0757575757575758,0.0526315789473684,0.111111111111111
3. Construction,"","",""
Average,0.318181818181818,0.447368421052632,0.148148148148148
4. Transporting goods or people,"","",""
Average,0.181818181818182,0.131578947368421,0.259259259259259
5. Oil production,"","",""
Average,0.0454545454545455,0.0263157894736842,0.0740740740740741
6. Mechanical work (repairing vehicles etc.),"","",""
Average,0.227272727272727,0.263157894736842,0.185185185185185
"7, Domestic work/cleaning","","",""
Average,0.212121212121212,0.236842105263158,0.185185185185185
8. Other harsh or dangerous labour,"","",""
Average,0,0,0
9. other Non harsh or dangerous labour,"","",""
Average,0.0606060606060606,0.0263157894736842,0.037037037037037
type_sectors_minors_calc,"","",""
Average,1.26086956521739,1.26829268292683,1.22222222222222
1. Permanent full time  with annual/monthly/weekly wage,"","",""
Average,0.466049382716049,0.629422718808194,0.266187050359712
2. Temporary job with weekly/daily/monthly wage,"","",""
Average,0.280864197530864,0.309124767225326,0.251798561151079
3. Daily labour,"","",""
Average,0.520576131687243,0.594040968342644,0.431654676258993
type_jobs_adults_calc,"","",""
Average,1.26748971193416,1.53258845437616,0.949640287769784
1. Salaried work,"","",""
Average,916.257110352674,1135.90163934426,545.723076923077
2. Casual or daily labour,"","",""
Average,612.84496124031,829.249049429658,383.65784114053
3. Income from own business or commerce,"","",""
Average,181.996975196612,159.613418530351,213.108225108225
4. Support from family and friends in Libya,"","",""
Average,18.5073529411765,21.4036208732694,14.4434523809524
5. Support from family and friends in home country,"","",""
Average,2.67401960784314,0.739084132055378,5.46130952380952
6. Support/remittances from family and friends in Europe,"","",""
Average,4.40379901960784,6.3493077742279,1.52529761904762
7. Humanitarian assistance,"","",""
Average,8.66487775790101,4.7907949790795,14.2157142857143
Zakat,"","",""
Average,6.5169946332737,5.3347280334728,8.25
9. Other (please specify),"","",""
Average,2.96935096153846,1.62408376963351,4.92732558139535
incomes_group_calc,"","",""
Average,1107.13686249193,1315.00657174151,812.73095623987
No income,"","",""
Average,4.84276729559748,2.48648648648649,7.5968992248062
1. Cash,"","",""
Average,89.6501746216531,94.3175257731959,84.3402203856749
2. Transferred to bank account in Libya; ,"","",""
Average,0.168800931315483,0.0412371134020619,0.34435261707989
3. Transferred to bank account in country of origin;  ,"","",""
Average,0.722933643771828,1.0020618556701,0.275482093663912
4. Cheques,"","",""
Average,0.317229336437718,0.185567010309278,0.461432506887052
5. Phone top-up cards,"","",""
Average,0.413853317811409,0.444329896907216,0.385674931129477
6. Prepaid card or gift card,"","",""
Average,0.263678696158324,0.0876288659793814,0.506887052341598
"7. Other in-kind (e.g., food)","","",""
Average,1.81431897555297,0.585567010309278,3.51101928374656
8. Other (please specify),"","",""
Average,0.286961583236321,0.109278350515464,0.533057851239669
income_modality_group_calc,"","",""
Average,98.5884749708964,99.4432989690722,97.8168044077135
Did you face any challenges obtaining enough money to meet your needs over the last 30 days?,"","",""
No,56.5,100,0
Yes,42.3,0,100
Don't know,0.9,0,0
Prefer not to answer,0.3,0,0
What were the main challenges to obtaining enough money to meet your  needs in the last 30 days?,"","",""
Lack of work opportunity,55,,55
Salary or wages too low,37,,37
Salary or wages not regularly paid,47,,47
Unable to withdraw enough money from bank account,1,,1
No currently functioning banks/financial institutions in my area,2,,2
Other (please specify),2,,2
Don't know,0,,0
Prefer not to answer,0,,0
"When buying items for domestic consumption in Libya, do you buy for your household, share a budget with other people or buy only for yourself?","","",""
I share nearly all expenses with other people (not family members or dependents),36.9,35.3,39.7
I buy for my household (family members or dependents),27.1,24.5,30.9
I buy only for myself,17.9,20.5,14.6
I share only certain types of expenses with other people (not family members or dependents),16,18,12.8
Other (please specify),0.9,0.6,1
Prefer not to answer,0.8,0.7,0.6
Don't know,0.4,0.3,0.6
1. Food items,"","",""
Average,266.040745052387,295.431958762887,228.931129476584
2. Rent,"","",""
Average,178.270642201835,174.473021582734,183.33140655106
3. Shelter maintenance,"","",""
Average,9.14784633294529,8.74639175257732,9.79614325068871
4. Water (from all sources combined),"","",""
Average,20.5081490104773,19.520618556701,22.1597796143251
"5. Non-food household items (hygiene items, blankets, lightbulbs, etc.)","","",""
Average,32.7235157159488,38.6247422680412,25.362258953168
6. Utilities (electricity and gas connections),"","",""
Average,7.00989522700815,7.78453608247423,6.08402203856749
"7. Fuel (for cooking, for vehicles, etc.)","","",""
Average,24.1944121071013,26.1041237113402,21.8870523415978
"8. Health-related expenditures (healthcare, medicine, etc.)","","",""
Average,31.0145518044237,27.659793814433,35.5137741046832
"9. Education-related expenditures (school fees, supplies, uniforms, etc.)","","",""
Average,98.9240196078431,137,61.0099502487562
10. Transportation ,"","",""
Average,49.3015133876601,49.619587628866,49.1101928374656
11. Mobile phone credit,"","",""
Average,54.6024447031432,57.9443298969072,50.5730027548209
"12. Productive assets (items used to help generate income, such as sewing machines, tools, etc.)","","",""
Average,25.0681024447031,27.2917525773196,22.7603305785124
13. Debt repayment,"","",""
Average,47.4813736903376,18.0020618556701,88.1418732782369
14. All other expenditures (specify),"","",""
Average,4.88170163170163,5.25309917355372,4.07988980716253
what is your total amount of debt (in LYD)?,"","",""
Average,1776.29045643154,918.46511627907,2838.61467889908
What was the primary reason for taking on debt?,"","",""
Accessing food,35.3,36.4,33
Paying for other basic needs,20.7,27.1,13.8
Paying for rent,10.4,7.8,13.8
Purchasing productive assets (for small business or income-generating activities),9.1,10.9,7.3
Paying for healthcare,7.5,3.1,12.8
Paying smuggler or connection house operator,5.8,7,4.6
Paying for release from captivity,2.9,2.3,3.7
"Purchasing non-productive assets (e.g. TV, household appliances, furniture, gold, etc.)",2.5,2.3,1.8
Other (please specify),1.7,0,3.7
Paying for shelter maintenance,1.7,1.6,1.8
Prefer not to answer,1.2,0.8,1.8
Paying for education,1.2,0.8,1.8
What percentage of your income would you estimate you send to family in your country of origin per month?,"","",""
Average,28.3576594345825,32.4169491525424,22.768
what percentage of your income would you estimate you save in Libya (do not spend/send) per month?,"","",""
Average,18.7720105124836,22.5446327683616,13.1086261980831
What was the payment modality most commonly used by your household in the past 30 days?,"","",""
Cash (LYD),98.4,98.5,98.5
Cash (foreign/non-LYD),0.8,1,0.4
Prefer not to answer,0.3,0.2,0.4
Bank transfers,0.1,0.2,0
Don't know,0.1,0,0.1
Other (please specify),0.1,0,0.3
Prepaid or gift card,0.1,0,0.3
Cheques ,0.1,0.1,0
Do you have access to a marketplace or grocery store where you can find fresh produce in your mahalla or close to your mahalla?,"","",""
Yes,84.7,81.3,90.1
No,14.8,18.6,9.4
Prefer not to answer,0.3,0.1,0.4
Don't know,0.1,0,0.1
What means of transport do you usually use to travel to the nearest marketplace or grocery store where you can find fresh produce?,"","",""
Walking,75.3,75.3,75.4
Car,12.8,13.4,12.1
Bicycle,6.3,6.3,6.3
Driven there by somebody I know,3,2.5,3.7
Public transport,2.1,2.3,2
Other (please specify),0.3,0.1,0.6
For how long do you have to travel using this means of transport to get to the nearest marketplace or grocery store where you can find fresh produce?,"","",""
Less than 15 minutes,66.9,75.2,57.2
15-29 minutes,21.9,19.3,24.9
30-59 minutes,8.7,4.6,13.6
1-2 hours,2.3,1,4
More than 2 hours,0.1,0,0.3
"In the last 30 days, did you face any barriers to consistently accessing marketplaces?","","",""
No barriers faced when accessing marketplace,76,81,71
Live too far from marketplace / no means of transport,7,5,11
Transportation too expensive,12,10,15
Damage to marketplace,0,0,0
Damage to roads leading to marketplace,0,0,0
Insecurity travelling to and from marketplace,7,6,9
Curfew prevented access to market,0,0,1
Marketplace never open at a time when we can visit,1,1,1
Presence of explosive hazards,0,0,0
Discriminatory practices from market vendors,3,3,3
lack of documents to travel,3,3,4
language barriers,4,4,3
Other (please specify),0,0,0
Don't know,0,0,0
Prefer not to answer,0,0,0
"In the last 30 days, did you face any barriers to regularly purchasing specific items on the market?","","",""
"No, no barrier faced when purchasing market items",35,48,17
"Yes, some items are too expensive",60,49,76
"Yes, some items are not available",14,10,19
"Yes, we have no means of payment (e.g., not enough hard cash, vendors do not accept prepaid cards)",5,3,9
"Yes, discriminatory practices from market vendors",4,4,4
Other (please specify),0,0,0
Don't know,0,0,0
Prefer not to answer,0,0,0
"Which items were too expensive to afford? (select category first, then list specific items)","","",""
Food items: fresh vegetables/fruits,59,46,71
Food items: fresh fish/meat/eggs,90,87,92
Food items: other,34,25,42
NFIs: Hygiene items for women,9,7,11
NFIs: Hygiene items for men,29,16,40
NFIs: Household items,23,13,31
NFIs: Fuel,21,15,25
Water,1,0,2
Medicine or health-related items,20,25,17
Other (please specify),1,1,0
Which items were not consistently available?,"","",""
Food items: fresh vegetables/fruits,16,26,9
Food items: fresh fish/meat/eggs,30,45,18
Food items: other,54,27,73
NFIs: Hygiene items for women,3,5,1
NFIs: Hygiene items for men,16,8,22
NFIs: Household items,5,8,4
NFIs: Fuel,66,47,79
Water,0,0,1
Medicine or health-related items,32,49,20
Other (please specify),1,2,1
What types of financial service providers do you have access to in or around your mahalla?,"","",""
Banks,3,4,3
Hawala,29,28,31
Financial services provided by local businesses (e.g. petrol stations),3,3,3
Financial services provided by members of the Libyan community,29,29,29
Financial services provided by other refugees or migrants,19,15,24
Financial services provided by an employer,41,45,36
Financial services provided by a smuggler,5,5,4
Other (please specify),1,1,1
Don't know,6,3,10
Prefer not to answer,1,1,0
"If you save part of your income, how do you store your salary/money?","","",""
In a safe place at home,52,54,48
Transfer back to home country,22,22,22
Carry it on me,23,23,22
Put it in a bank account,2,2,1
Give it to my employer,23,23,23
Give it to my smuggler,3,3,3
Ask refugee and migrant friends to store it,6,6,7
Ask Libyan friends to store it,10,8,15
Other (please specify),0,0,1
Don't know,0,0,0
Prefer not to answer,5,5,6
"If you transfer some of your money back to your home country (send remittances), how do you send it home?","","",""
Official money transfer agency,10,10,9
Unofficial money transfer agency,70,67,78
Hawala system,13,17,5
Through a person I know who travels regularly back home,17,18,15
Through bank account,0,0,0
Other (please specify),0,0,0
Don't know,0,0,0
Prefer not to answer,1,1,1
"If you transfer some of your money back to your home country (send remittances), what percent extra do you have to pay to transfer each unit of currency?","","",""
Average,9.71413390010627,9.01463414634146,10.9184952978056
"1. Sold non-productive household assets or goods (TV, household appliance, furniture, gold, etc.)","","",""
"No, had no need to use this coping strategy",54.5,68.6,36.4
Not applicable/This coping strategy is not available to me,35.4,23,51.8
Yes,8.8,7.9,10.2
"No, have already exhausted this coping strategy and cannot use it again",1.2,0.5,1.7
"2. Sold productive household assets or means of transport (sewing machine, wheelbarrow, car, etc.)","","",""
"No, had no need to use this coping strategy",49.4,58.7,37.9
Not applicable/This coping strategy is not available to me,45.1,36.1,56.6
Yes,4.8,5.2,4.1
"No, have already exhausted this coping strategy and cannot use it again",0.8,0.1,1.4
3. Spent savings,"","",""
"No, had no need to use this coping strategy",44.4,57.9,26.9
Yes,31.5,30.1,33.3
Not applicable/This coping strategy is not available to me,22.3,10.6,37.3
"No, have already exhausted this coping strategy and cannot use it again",1.9,1.3,2.5
4. Borrowed money,"","",""
"No, had no need to use this coping strategy",56.8,71.5,37.2
Not applicable/This coping strategy is not available to me,22.8,15.4,32
Yes,19.1,12.5,28.4
"No, have already exhausted this coping strategy and cannot use it again",1.4,0.6,2.5
5. Purchased food on credit or borrowed food,"","",""
"No, had no need to use this coping strategy",46.4,55.6,34.4
Not applicable/This coping strategy is not available to me,38.9,32.9,46.7
Yes,14.1,11.2,17.9
"No, have already exhausted this coping strategy and cannot use it again",0.6,0.3,1
"6. Reduced expenditures on essential non-food items (water, hygiene items, etc.)","","",""
"No, had no need to use this coping strategy",48.3,61.6,30.7
Yes,39.9,27.8,56.7
Not applicable/This coping strategy is not available to me,11.9,10.5,12.5
7. Reduced expenses on health or medicine,"","",""
"No, had no need to use this coping strategy",57.3,64.7,48.5
Yes,25.1,20.8,30.9
Not applicable/This coping strategy is not available to me,15.7,12.4,19.3
"No, have already exhausted this coping strategy and cannot use it again",1.9,2.1,1.4
8. Child or children dropped out of school,"","",""
Not applicable/This coping strategy is not available to me,60,57.1,63.2
"No, had no need to use this coping strategy",37.7,41.9,32.6
Yes,2.2,0.9,3.9
"No, have already exhausted this coping strategy and cannot use it again",0.2,0.1,0.3
9. Delayed or skipped paying rent,"","",""
"No, had no need to use this coping strategy",49.7,65.5,32.6
Not applicable/This coping strategy is not available to me,27.8,22,33.5
Yes,21.5,12.4,32
"No, have already exhausted this coping strategy and cannot use it again",1,0.2,1.9
10. Asked strangers for money or food,"","",""
"No, had no need to use this coping strategy",62.7,75.2,46.4
Not applicable/This coping strategy is not available to me,29,19.3,41.3
Yes,7.6,4.9,11.3
"No, have already exhausted this coping strategy and cannot use it again",0.8,0.6,1
11. Took an additional job,"","",""
"No, had no need to use this coping strategy",39.5,50.2,25.6
Yes,34.5,26.9,44.8
Not applicable/This coping strategy is not available to me,25.2,22.5,28.2
"No, have already exhausted this coping strategy and cannot use it again",0.8,0.4,1.4
"12. HH adult member accepted socially degrading, exploitative, high-risk, or illegal work","","",""
"No, had no need to use this coping strategy",50.4,59.4,38.7
Not applicable/This coping strategy is not available to me,47.8,39.7,58.3
Yes,1.7,0.9,2.8
"No, have already exhausted this coping strategy and cannot use it again",0.1,0,0.3
"13. HH minor member accepted socially degrading, exploitative, high-risk, or illegal work","","",""
Not applicable/This coping strategy is not available to me,50.2,42.6,58.2
"No, had no need to use this coping strategy",47.8,56.9,38.3
Yes,1.5,0,3
"No, have already exhausted this coping strategy and cannot use it again",0.5,0.5,0.5
"14. Child marriage (i.e., marriage of a household member aged 17 or younger)","","",""
Not applicable/This coping strategy is not available to me,53.9,46.6,61.7
"No, had no need to use this coping strategy",44.1,51,36.8
Yes,1.2,1.5,1
"No, have already exhausted this coping strategy and cannot use it again",0.7,1,0.5
What is the main reason why these coping strategies were used?,"","",""
Accessing food,78,70,86
Paying for healthcare,24,24,23
Paying for education,7,7,6
Paying for shelter,43,35,50
Paying for other basic needs,52,49,56
Paying smuggler(s),6,8,5
Paying a ransom,1,1,1
Sending money to family in country of origin,49,52,46
Other (please specify),1,1,0
Don't know,1,1,1
Prefer not to answer,0,1,0
What was the main source of drinking water you used over the past 30 days?,"","",""
Public network (connected to the shelter),43.4,46.8,38.2
Bottled water,39.7,37.9,42.8
"Protected well (e.g., in your house or in the mosque)",6.5,3.9,10.1
Water trucking,5.8,6.9,4.4
Tap accessible to the public  ,3.3,3.4,3.3
Unprotected well,0.9,0.5,1.1
Other (please specify),0.2,0.4,0
Prefer not to answer,0.1,0,0
Rainwater,0.1,0.1,0
"Surface water (lakes, ponds, rivers, etc.)",0.1,0,0.1
How far is the main source of drinking water from your dwelling?,"","",""
Up to 100m,34.4,37.6,30.9
500m or more,19.4,13.8,25.4
101-200m,16.5,16.3,16.3
201-300m,12.8,11.8,14.1
301-400m,10,12,7.9
401-500m,6.9,8.5,5.3
"In the last month, has there been any time when you did not have a sufficient quantity of drinking water to meet your daily needs?","","",""
No,64.9,79.2,46.4
Yes,34.5,20.1,53
Don't know,0.5,0.4,0.6
Prefer not to answer,0.2,0.3,0
How would you describe the quality of the drinking water from the main source you used during the last 30 days? ,"","",""
Water is fine to drink ,87,87,86
Taste is not good ,10,9,11
Smell is not good ,1,1,2
Water is discoloured,1,1,2
Water causes health issues (like diarrhea),1,0,2
Other (please specify),0,0,0
Don't know,3,3,2
Prefer not to answer,0,0,0
"What methods do you use, if any, to improve the quality of your drinking water?","","",""
No treatment methods used,52,52,53
Boiling,19,13,25
"Disinfection (tablets, iodine, etc.)",3,5,2
Water filters,24,32,15
Other (please specify),2,1,3
Don't know,3,2,4
Prefer not to answer,0,0,0
"Over the past 7 days, on how many days did you have access to drinking water from the public network?","","",""
Every day (7 days),36.4,41.8,29.1
Rarely (1-3 days),28.8,20.6,40.5
Most days (4-6 days),25,26.3,22.9
Not at all (0 days),8.8,10.3,7
Don't know,0.9,1,0.6
What kind of toilet do you have access to inside your shelter or within easy reach?,"","",""
Flush toilet (Arabic or Western),48,48,48
Pour toilet (Arabic or Western),47,51,43
Dry pit latrine (without water),6,5,8
No toilet inside shelter or within easy reach,1,1,2
Other (please specify),0,0,0
Don't know,0,0,0
Prefer not to answer,0,0,1
How far is the nearest accessible toilet from your dwelling?,"","",""
201-300m,38.9,40,38.5
Up to 100m,22.2,20,23.1
101-200m,16.7,0,23.1
301-400m,16.7,20,15.4
500m or more,5.6,20,0
How did you most often dispose of trash over the past 30 days?,"","",""
"Collected by the municipality, waste management service (private or public), or other authority ",28,32,23
"Put in a public place designated for waste disposal, to be collected later",46,45,47
Left in the road or in a public place not designated for waste disposal,15,16,14
Buried or burned,16,11,22
Other (please specify),0,0,0
Don't know,0,0,0
Prefer not to answer,0,0,0
How far is the trash disposal point from your dwelling?,"","",""
Up to 100m,29.1,35.5,21.5
101-200m,22.9,26.6,18.9
201-300m,16.7,16.9,16.5
500m or more,16.3,5.7,28.1
301-400m,9.3,9.3,9.6
401-500m,5.7,6,5.4
How frequently is your trash collected?,"","",""
More than once per week,54.8,60.8,44.2
Once per week,34.1,29.3,42.4
Once every two weeks,6.6,6.1,7.3
Don't know,2.1,1.6,3
Once per month,1.7,1.9,1.2
Less frequently than once per month,0.6,0,1.8
Prefer not to answer,0.2,0.3,0
"Among these products, are there any that you require but are unable to purchase?","","",""
There are no hygiene products that we require but are unable to purchase,60,74,40
Soap (liquid and bar)                                    ,24,14,38
"Disinfectant - surface cleaner (powder, liquid detergent)",19,15,25
Toothpaste ,12,9,17
Clean toothbrushes     ,8,5,13
Sanitary pads,4,2,6
Baby diapers                                               ,4,2,6
Water container (or Jerry can) ,14,5,27
Shampoo                                                     ,25,15,39
Dishwashing liquid ,19,12,30
Other (please specify),1,1,1
Don't know,1,1,2
Prefer not to answer,1,0,1
"If there were products in that list that you require but are unable to purchase, what is the main reason why you can't purchase them?","","",""
Too expensive,91,89,94
Not available in the market ,8,5,10
Can't reach the market ,3,2,3
Quality not good,8,14,5
Other (please specify),1,1,0
Don't know,1,0,0
Prefer not to answer,2,2,1
Have you been ill in the past 15 days?,"","",""
No,77.5,81,72.9
Yes,21.8,18.1,27
Don't know,0.5,0.6,0.1
Prefer not to answer,0.2,0.2,0
Did you go to a health facility to access the needed health care?,"","",""
Yes,77.1,84.1,70.4
No,22.4,15.9,28.6
Don't know,0.3,0,0.5
Prefer not to answer,0.3,0,0.5
Do you face any challenges accessing health care when you need it?,"","",""
No,79.9,88.1,69
Yes,17.7,10.3,27.7
Don't know,2,1.1,3
Prefer not to answer,0.4,0.4,0.3
what are the main reasons for you to have limited or no access to healthcare?,"","",""
Health facilities have been damaged or destroyed,2,3,2
Distance to health facilities is too far,22,23,21
Route to health facilities is unsafe ,8,11,5
Presence of explosive hazards,0,0,0
No available health facilities that can accept new patients,2,1,2
No/lack of money to pay for care,35,21,42
Lack of means of transport to get to the healthcare facilities,10,10,9
Lack of medical staff in general,15,12,16
Lack of female medical staff in particular,2,0,2
Lack of private room(s) for receiving confidential care,2,5,1
Lack of medicines,12,3,16
Lack of medical supplies,6,5,6
Lack of documentation,12,11,13
Price barriers to access medical aid,19,9,24
Linguistic barriers,4,6,3
No available health facilities that accept refugees/migrants,13,15,12
Did not know where to go,4,2,4
"For females, denial of permission from family members to visit health facility",0,0,0
"For females, absence of male companion to accompany during visit to health facility",1,2,0
Afraid to become known as a migrant,8,16,4
Other (please specify),0,0,0
Don't know,1,2,1
Prefer not to answer,1,2,0
What do you do when you do not have enough money to pay for all the healthcare that is needed?,"","",""
"Revert to non-medical alternatives  (e.g., traditional medicine, home treatments)",55,67,52
Prioritize emergency cases,18,19,18
Get medical treatment from individuals without professional training,10,5,11
"Use expired medicine or recycle medical items (e.g., syringes",3,5,2
Travel abroad for required medical treatment,0,0,0
Travel to other manitkas for required medical treatment,3,0,4
Self-treatment,28,19,30
Do not seek medical help,10,10,10
"Reduce expenditures on other needs (education, NFIs,  food)",11,14,10
Visit health centre managed by NGO,6,5,6
Visit Libyan medical doctor outside medical facilities,1,0,1
"Visit foreign medical doctor outside medical facilities,",5,5,5
Other (please specify),3,0,4
Don't know,3,0,4
Prefer not to answer,1,0,1
How do you travel from your place of residence to the nearest health service provider?,"","",""
By car,31,31.8,30.3
Have not visited a local health service provider,30.9,28.4,35.1
By foot,14.6,15.5,12.9
Driven there by somebody I know,12.2,13.3,10.6
By public transport,8.4,9.1,7.9
By bicycle,1.2,0.7,1.8
No way to get there,0.8,0.8,0.8
Don't know,0.3,0.2,0.4
Prefer not to answer,0.3,0.2,0
Other (please specify),0.1,0.1,0.1
How much time does it take you to travel from your place of residence to the nearest health service provider using this form of travel?,"","",""
Less than 15 minutes,42.2,53.1,26
15-29 minutes,38.8,34.8,44.6
30-59 minutes,12.2,9.5,16
1-2 hours,6.4,2,13
More than 2 hours,0.3,0.3,0.4
Prefer not to answer,0.1,0.1,0
Did you give live birth in Libya during the 2 last years?,"","",""
No,68.7,81.4,61.8
Yes,29.9,18.6,36
Don't know,1.5,0,2.2
Who assisted in the delivery?,"","",""
No one                                          ,0,0,0
Obstetrician,68,62,69
General practitioner,2,0,3
Certified midwife          ,10,38,3
Uncertified midwife         ,8,12,6
Nurse                                  ,10,0,12
Relatives / Friends ,8,0,9
Other (please specify),0,0,0
Don't know,0,0,0
Prefer not to answer,0,0,0
Do you suffer from any chronic disease?,"","",""
No,88.6,90.6,86.5
Yes,10.3,8.8,12.4
Don't know,0.7,0.3,1.1
Prefer not to answer,0.4,0.3,0
Which diseases do you suffer from? ,"","",""
Blood pressure ,31,25,37
Heart disease,10,7,12
Diabetes,30,31,31
Asthma,11,16,7
Joint pain (arthritis),25,22,29
Chronic back pain (spinal cord),7,5,10
Cataract ,0,0,0
Stomach ulcers,10,9,10
Kidney failure,1,1,0
Epilepsy,1,0,1
Other (please specify),5,2,8
Don't know,0,0,0
Prefer not to answer,0,0,0
Do you have adequate access to the needed health care services to treat this condition?,"","",""
"Yes, adequate access",50.3,69.4,32.6
"Limited access (only sometimes, limited quantity, etc.)",38,25.9,48.9
No access,10.6,4.7,16.3
Don't know,1.1,0,2.2
What are the services that are not available (when needed or prescribed)?,"","",""
No access to the health facility,20,12,22
Lack of availability of specialized consultation,46,58,40
Lack of availability of general practitioners for the follow-up,28,15,33
"Lack of availability of radiologic tests (X-ray, ultrasound, scan, MRI, etc.)",14,12,15
"Lack of availability of biologic tests (blood test, urinary test, etc.)",2,8,0
"Lack of availability of specialized medical investigation (fibroscopy, angiography, etc.)",7,4,8
Lack of availability of medicines ,32,27,35
Other (please specify),9,12,8
Don't know,3,0,5
Prefer not to answer,1,4,0
"Within the past 30 days, have you experienced any of the following? (select all that apply)","","",""
I did not experience any of the below ,36,45,23
Feeling little interest or pleasure doing things that you normally like,16,15,16
"Feeling down, depressed or hopeless",22,14,33
Feeling tired or having little energy for no good reason,34,26,45
