type,name,label::English (en),label::French (fr),label::Arabic (ar),required,default,relevant,appearance,constraint,constraint_message::English (en),constraint_message::French (fr),constraint_message::Arabic (ar),choice_filter,calculation,hint::English (en),hint::French (fr),hint::Arabic (ar),repeat_count,parameters
integer,farming_agriculture_work,1. Farming/ agriculture work,1. Travail agricole,ÇáİáÇÍÉ / ÇáÚãá ÇáÒÑÇÚí,yes,,,,.<= ${type_jobs_minors_calc},should be less than working minors,doit être inférieur au nombre de mineurs qui travaillent,íÌÈ Ãä íßæä ÃŞá ãä ÇáŞÇÕÑíä ÇáÚÇãáíä,íÌÈ Ãä íßæä ÃŞá ãä ÇáŞÇÕÑíä ÇáÚÇãáíä,,,,,,
integer,factory_work_manufacturing_products,2. Factory work/manufacturing of products,2. Travail/fabrication d'usine des produits,ÇáÚãá İí ÇáãÕÇäÚ / ÊÕäíÚ ÇáãäÊÌÇÊ,yes,,,,.<= ${type_jobs_minors_calc},should be less than working minors,doit être inférieur au nombre de mineurs qui travaillent,íÌÈ Ãä íßæä ÃŞá ãä ÇáŞÇÕÑíä ÇáÚÇãáíä,íÌÈ Ãä íßæä ÃŞá ãä ÇáŞÇÕÑíä ÇáÚÇãáíä,,,,,,
integer,construction,3. Construction,3. Construction,ÇáÈäÇÁ,yes,,,,.<= ${type_jobs_minors_calc},should be less than working minors,doit être inférieur au nombre de mineurs qui travaillent,íÌÈ Ãä íßæä ÃŞá ãä ÇáŞÇÕÑíä ÇáÚÇãáíä,íÌÈ Ãä íßæä ÃŞá ãä ÇáŞÇÕÑíä ÇáÚÇãáíä,,,,,,
integer,transporting_goods_people,4. Transporting goods or people,4. Transport de marchandises ou de personnes,äŞá/ÊÍãíá ÇáÈÖÇÆÚ Ãæ ÇáäÇÓ,yes,,,,.<= ${type_jobs_minors_calc},should be less than working minors,doit être inférieur au nombre de mineurs qui travaillent,íÌÈ Ãä íßæä ÃŞá ãä ÇáŞÇÕÑíä ÇáÚÇãáíä,íÌÈ Ãä íßæä ÃŞá ãä ÇáŞÇÕÑíä ÇáÚÇãáíä,,,,,,
integer,oil_production,5. Oil production,5. Production de pétrole,ÅäÊÇÌ ÇáäİØ,yes,,,,.<= ${type_jobs_minors_calc},should be less than working minors,doit être inférieur au nombre de mineurs qui travaillent,íÌÈ Ãä íßæä ÃŞá ãä ÇáŞÇÕÑíä ÇáÚÇãáíä,íÌÈ Ãä íßæä ÃŞá ãä ÇáŞÇÕÑíä ÇáÚÇãáíä,,,,,,
integer,mechanical_work,6. Mechanical work (repairing vehicles etc.),"6. Travaux mécaniques (réparation de véhicules, etc.)",ÇáÃÚãÇá ÇáãíßÇäíßíÉ (ÊÕáíÍ ÇáãÑßÈÇÊ æãÇ Åáì Ğáß),yes,,,,.<= ${type_jobs_minors_calc},should be less than working minors,doit être inférieur au nombre de mineurs qui travaillent,íÌÈ Ãä íßæä ÃŞá ãä ÇáŞÇÕÑíä ÇáÚÇãáíä,íÌÈ Ãä íßæä ÃŞá ãä ÇáŞÇÕÑíä ÇáÚÇãáíä,,,,,,
integer,domestic_work_cleaning,"7, Domestic work/cleaning","7, Travail domestique/nettoyage",ÇáÚãá ÇáãäÒáí / ÇáÊäÙíİ,yes,,,,.<= ${type_jobs_minors_calc},should be less than working minors,doit être inférieur au nombre de mineurs qui travaillent,íÌÈ Ãä íßæä ÃŞá ãä ÇáŞÇÕÑíä ÇáÚÇãáíä,íÌÈ Ãä íßæä ÃŞá ãä ÇáŞÇÕÑíä ÇáÚÇãáíä,,,,,,
integer,other_harsh_dangerous_labour,8. Other harsh or dangerous labour,8. Autres travaux durs ou dangereux,ÛíÑåÇ ãä ÇáÃÚãÇá ÇáÔÇŞÉ Ãæ ÇáÎØíÑÉ,yes,,,,.<= ${type_jobs_minors_calc},should be less than working minors,doit être inférieur au nombre de mineurs qui travaillent,íÌÈ Ãä íßæä ÃŞá ãä ÇáŞÇÕÑíä ÇáÚÇãáíä,íÌÈ Ãä íßæä ÃŞá ãä ÇáŞÇÕÑíä ÇáÚÇãáíä,,,,,,
integer,other_nonharsh_nondangerous_labour,9. other Non harsh or dangerous labour,9. Autre travail non pénible ou dangereux,ÛíÑåÇ ãä ÇáÃÚãÇá ÇáÛíÑ ÇáÔÇŞÉ Ãæ ÇáÎØíÑÉ,yes,,,,.<= ${type_jobs_minors_calc},should be less than working minors,doit être inférieur au nombre de mineurs qui travaillent,íÌÈ Ãä íßæä ÃŞá ãä ÇáŞÇÕÑíä ÇáÚÇãáíä,íÌÈ Ãä íßæä ÃŞá ãä ÇáŞÇÕÑíä ÇáÚÇãáíä,,,,,,
end_group,,,,,,,,,,,,,,,,,,,
calculate,type_sectors_minors_calc,,,,,,,,,,,,,${farming_agriculture_work}+${factory_work_manufacturing_products}+${construction}+${transporting_goods_people}+${oil_production}+${mechanical_work}+${domestic_work_cleaning}+${other_harsh_dangerous_labour}+${other_nonharsh_nondangerous_labour},,,,,
note,type_sectors_minors_err,the sum of type of institution group does not match the sum of job type group,la somme de type de secteurs ne correspond pas a la somme du type d'emploi,ãÌãæÚ ÃäæÇÚ ÇáŞØÇÚÇÊ áÇ íÓÇæí ãÌãæÚ ÃäæÇÚ ÇáæÙÇÆİ,yes,,${type_sectors_minors_calc}!= ${type_jobs_minors_calc} and (${type_jobs_minors_calc}>0),,,,,,,,,,,,
begin_group,type_jobs_adults,How many men and women in your household in Libya (not including you) have worked in the following types of jobs in the past 30 days?,Combien d'hommes et de femmes dans votre foyer (excluant la personne interrogée)  en Libye ont occupé les types d'emplois suivants au cours des 30 derniers jours?,ßã ÚÏÏ ÇáÑÌÇá æÇáäÓÇÁ İí ÃÓÑÊß İí áíÈíÇ (áÇ íŞÚ ÇÍÊÓÇÈ ÇáãÓÊæÌæÈ) İí áíÈíÇ ÇáĞíä ÚãáæÇ İí ÃäæÇÚ ÇáæÙÇÆİ ÇáÊÇáíÉ ÎáÇá ÇáËáÇËíä íæãğÇ ÇáãÇÖíÉ¿,yes,,${nb_over18}>1,,,,,,,,,,,,
integer,permanent_job_adults,1. Permanent full time  with annual/monthly/weekly wage,1. Permanent à temps plein avec salaire annuel/mensuel/hebdomadaire,æÙíİÉ ÏÇÆãÉ ÈÃÌÑ Óäæí / ÔåÑí / ÃÓÈæÚí,yes,,,,.<= ${nb_over18},should be less than number of adults,doit être inférieur au nombre d'adultes,íÌÈ Ãä íßæä ÃŞá ãä ÚÏÏ ÇáÈÇáÛíä,,,,,,,
integer,temporary_job_adults,2. Temporary job with weekly/daily/monthly wage,2. Emploi temporaire avec salaire hebdomadaire/quotidien/mensuel,æÙíİÉ ãÄŞÊÉ ÈÃÌÑ ÃÓÈæÚí / íæãí / ÔåÑí,yes,,,,.<= ${nb_over18},should be less than number of adults,doit être inférieur au nombre d'adultes,íÌÈ Ãä íßæä ÃŞá ãä ÚÏÏ ÇáÈÇáÛíä,,,,,,,
integer,daily_labour_adults,3. Daily labour,3. Travail quotidien,ÇáÚãá Çáíæãí,yes,,,,.<= ${nb_over18},should be less than number of adults,doit être inférieur au nombre d'adultes,íÌÈ Ãä íßæä ÃŞá ãä ÚÏÏ ÇáÈÇáÛíä,,,,,,,
end_group,,,,,,,,,,,,,,,,,,,
calculate,type_jobs_adults_calc,,,,,,,,,,,,,${permanent_job_adults}+${temporary_job_adults}+${daily_labour_adults},,,,,
note,type_jobs_adults_err,the number of working adults is greater than the number of adults,le nombre d'adultes qui travaillent est supérieur au nombre d'adultes dans la famille,"ÚÏÏ ÇáÈÇáÛíä ÇáÚÇãáíä ÃßÈÑ ãä ÚÏÏ ÇáÈÇáÛíä
",yes,,${type_jobs_adults_calc}> (${nb_over18}-1),,,,,,,,,,,,
begin_group,incomes_group,Can you estimate your personal/individual income (in LYD) over the last 30 days from each of the following sources? ,Pouvez-vous estimer votre revenu personnel/individuel (en LYD) au cours des 30 derniers jours à partir de chacune des sources suivantes ?,åá íãßäß ÊŞÏíÑ ÏÎáß ÇáÔÎÕí / ÇáİÑÏí (ÈÇáÏíäÇÑ) Úáì ãÏÇÑ ÇáËáÇËíä íæãğÇ ÇáãÇÖíÉ ãä ßá ãä ÇáãÕÇÏÑ ÇáÊÇáíÉ¿,yes,,,,,,,,,,,,,,
integer,salaried_work,1. Salaried work,1. Travail salarié,ÇáÚãá ÈÃÌÑ,yes,,"selected(${type_jobs},'permanent_job') or selected(${type_jobs},'temporary_job')",,,,,,,,Enter an integer for each of the following:,Entrez un entier pour chacun des éléments suivants,ÃÏÎá ÚÏÏğÇ ÕÍíÍğÇ áßá ããÇ íáí,,
integer,casual_daily_labour,2. Casual or daily labour,2. Travail occasionnel ou quotidien,ÇáÚãá ÇáÚÑÖí Ãæ Çáíæãí,yes,,"selected(${type_jobs},'daily_labour') or selected(${type_jobs},'temporary_job') or selected(${type_institutions},'informal_irregular_labour')",,,,,,,,,,,,
integer,income_own_business,3. Income from own business or commerce,3. Revenu provenant de ses propres entreprises ou de leur propre commerce,ÇáÏÎá ãä ÇáÃÚãÇá ÇáÎÇÕÉ Ãæ ÇáÊÌÇÑÉ,yes,,,,,,,,,,,,,,
integer,support_from_family_inlibya,4. Support from family and friends in Libya,4. Soutien de la famille et des amis en Libye,ÇáÏÚã ãä ÇáÚÇÆáÉ æÇáÃÕÏŞÇÁ İí áíÈíÇ,yes,,,,,,,,,,,,,,
integer,support_from_family_home,5. Support from family and friends in home country,5. Soutien de la famille et des amis dans leur pays d'origine,ÇáÏÚã ãä ÇáÚÇÆáÉ æÇáÃÕÏŞÇÁ İí ÇáãæØä,yes,,,,,,,,,,,,,,
integer,support_from_family_europe,6. Support/remittances from family and friends in Europe,6. Soutien/envois de fonds de la famille et des amis en Europe,ÇáÏÚã / ÇáÊÍæíáÇÊ ÇáãÇáíÉ ãä ÇáÚÇÆáÉ æÇáÃÕÏŞÇÁ İí ÃæÑæÈÇ,yes,,,,,,,,,,,,,,
integer,humanitarian_assistance,7. Humanitarian assistance,7. Aide humanitaire,ÇáãÓÇÚÏÉ ÇáÅäÓÇäíÉ,yes,,,,,,,,,,,,,,
integer,zakat,8. Zakat or charitable donations (not formal humanitarian assistance),8. Dons de zakat ou de bienfaisance (pas d'aide humanitaire formelle),ÇáÒßÇÉ Ãæ ÇáÊÈÑÚÇÊ ÇáÎíÑíÉ (æáíÓ ÇáãÓÇÚÏÇÊ ÇáÅäÓÇäíÉ ÇáÑÓãíÉ),yes,,,,,,,,,,,,,,
integer,income_other,9. Other (please specify),9. Autres (Veuillez spécifier s'il vous plait),ÛíÑåÇ (íÑÌì ÇáÊÍÏíÏ),yes,,,,,,,,,,,,,,
end_group,,,,,,,,,,,,,,,,,,,
text,incomes_group_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,${income_other}>0,,,,,,,,,,,,
calculate,incomes_group_calc,,,,,,,,,,,,,"coalesce(${salaried_work},0)+coalesce(${casual_daily_labour},0)+${income_own_business}+${support_from_family_inlibya}+${support_from_family_home}+${support_from_family_europe}+${humanitarian_assistance}+${zakat}+${income_other}",,,,,
begin_group,income_modality_group,What percenatges of your income did you receive via each of the following modalities:,Quel pourcentage de votre revenu avez-vous reçu via chacune des modalités suivantes:,ãÇ ÇáäÓÈ ÇáãÆæíÉ áÏÎáß ÇáÊí ÊáŞíÊåÇ ÚÈÑ ßá ãä ÇáØÑÇÆŞ ÇáÊÇáíÉ:,yes,,,,,,,,,,,,,,
integer,no_income,No income,Pas de revenue,áíÓ áÏí ÏÎá,yes,,,,.=0 or .=100,Should be either 0 or 100,Doit etre soit 0 ou 100,íÌÈ Ãä íßæä ÅãÇ 0 Ãæ 100,,,"If no income, please put 100","If no income, please put 100","ÅĞÇ áã íßä åäÇß ÏÎá ¡ íÑÌì æÖÚ 100",,
integer,cash_income_modality,1. Cash,1. Argent comptant,ÇáäŞÏ,yes,,,,.>=0 and .<= 100,should be between 0 and 100,doit être compris entre 0 et 100,íÌÈ Ãä íßæä Èíä 0 æ 100,,,,,,,
integer,lby_bankaccount_income_modality,2. Transferred to bank account in Libya; ,2. Transféré sur un compte bancaire en Libye; ,ÇáÊÍæíá Åáì ÍÓÇÈ Èäßí İí áíÈíÇ,yes,,,,.>=0 and .<= 100,should be between 0 and 100,doit être compris entre 0 et 100,íÌÈ Ãä íßæä Èíä 0 æ 100,,,,,,,
integer,home_bankaccount_income_modality,3. Transferred to bank account in country of origin;  ,3. Transféré sur compte bancaire dans le pays d'origine;  ,ÇáÊÍæíá  Åáì ÍÓÇÈ Èäßí İí ÈáÏ ÇáãäÔÃº,yes,,,,.>=0 and .<= 100,should be between 0 and 100,doit être compris entre 0 et 100,íÌÈ Ãä íßæä Èíä 0 æ 100,,,,,,,
integer,cheques_income_modality,4. Cheques,4. Chèques,ÇáÔíßÇÊ ,yes,,,,.>=0 and .<= 100,should be between 0 and 100,doit être compris entre 0 et 100,íÌÈ Ãä íßæä Èíä 0 æ 100,,,,,,,
integer,phone_topup_cards_income_modality,5. Phone top-up cards,5. Cartes de recharge de téléphone,ÈØÇŞÇÊ áÅÚÇÏÉ ÇáÔÍä ÈÇáåÇÊİ ,yes,,,,.>=0 and .<= 100,should be between 0 and 100,doit être compris entre 0 et 100,íÌÈ Ãä íßæä Èíä 0 æ 100,,,,,,,
integer,prepaid_gift_cards_income_modality,6. Prepaid card or gift card,6. Carte prépayée ou carte-cadeau,ÈØÇŞÉ ãÓÈŞÉ ÇáÏİÚ Ãæ ÈØÇŞÉ åÏíÉ ,yes,,,,.>=0 and .<= 100,should be between 0 and 100,doit être compris entre 0 et 100,íÌÈ Ãä íßæä Èíä 0 æ 100,,,,,,,
integer,other_inkind_income_modality,"7. Other in-kind (e.g., food)",7. Autres en nature (p. ex. nourriture),ÚíäíÉ ÃÎÑì (ãËá ÇáØÚÇã) ,yes,,,,.>=0 and .<= 100,should be between 0 and 100,doit être compris entre 0 et 100,íÌÈ Ãä íßæä Èíä 0 æ 100,,,,,,,
integer,other_income_modality,8. Other (please specify),8. Autres (Veuillez spécifier s'il vous plait),ÛíÑ Ğáß (íÑÌì ÇáÊÍÏíÏ),yes,,,,.>=0 and .<= 100,should be between 0 and 100,doit être compris entre 0 et 100,íÌÈ Ãä íßæä Èíä 0 æ 100,,,,,,,
end_group,,,,,,,,,,,,,,,,,,,
text,income_modality_group_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,${other_income_modality}>0,,,,,,,,,,,,
calculate,income_modality_group_calc,,,,,,,,,,,,,${cash_income_modality}+${lby_bankaccount_income_modality}+${home_bankaccount_income_modality}+${cheques_income_modality}+${phone_topup_cards_income_modality}+${prepaid_gift_cards_income_modality}+${other_inkind_income_modality}+${other_income_modality}+${no_income},,,,,
note,income_modality_group_err,the total should equal 100%,le total doit être égal à 100%,"ÇáãÌãæÚ íÌÈ Ãä íÓÇæí 100 ?
",yes,,${income_modality_group_calc}!=100 and ${incomes_group_calc}>0,,,,,,,,,,,,
select_one yes_no_dk_dwta,obtaining_cash_challenges,Did you face any challenges obtaining enough money to meet your needs over the last 30 days?,Avez-vous rencontré des difficultés à obtenir suffisamment d'argent pour répondre à vos besoins au cours des 30 derniers jours?,åá æÇÌåÊ Ãí ÕÚæÈÇÊ İí ÇáÍÕæá Úáì ÃãæÇá ßÇİíÉ áÊáÈíÉ ÇÍÊíÇÌÇÊß Úáì ãÏÇÑ ÇáËáÇËíä íæãğÇ ÇáãÇÖíÉ¿,yes,,,quick,,,,,,,,,,,
select_multiple obtaining_cash_challenge_reasons,obtaining_cash_challenge_reasons,What were the main challenges to obtaining enough money to meet your  needs in the last 30 days?,Quels ont été les principaux défis à relever pour obtenir suffisamment d'argent pour répondre à vos besoins au cours des 30 derniers jours?,ãÇ ßÇäÊ ÇáÊÍÏíÇÊ ÇáÑÆíÓíÉ ááÍÕæá Úáì ÇáÏÎá İí Çá30 íæãÇ ÇáãÇÖíÉ¿,yes,,${obtaining_cash_challenges}='yes',,"not(selected(., 'dk')) and not(selected(., 'dwta')) or count-selected(.) = 1","Cannot select ""I dont know"" or ""I prefer not to answer"" with other options","Impossible de sélectionner ""Je ne sais pas"" ou ""Je préfère ne pas répondre"" avec d'autres options.","áÇ íãßä ÅÎÊíÇÑ ""áÇ ÃÚáã"" Ãæ ""ÃİÖá ÚÏã ÇáÅÌÇÈÉ"" ãÚ ÇÎÊíÇÑÇÊ ÃÎÑì",,,,,,,
text,obtaining_cash_challenge_reasons_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,"selected(${obtaining_cash_challenge_reasons},'other')",,,,,,,,,,,,
select_one domestic_consumption_purchase_forwhom,domestic_consumption_purchase_forwhom,"When buying items for domestic consumption in Libya, do you buy for your household, share a budget with other people or buy only for yourself?","Lorsque vous achetez des articles destinés à la consommation intérieure en Libye, achetez-vous pour votre Foyer, partagez-vous un budget avec d'autres personnes ou vous n'achetez que pour vous-même?","ÚäÏ ÔÑÇÁ ÓáÚ ááÇÓÊåáÇß ÇáãÍáí İí áíÈíÇ¡ åá ÊÔÊÑí áÚÇÆáÊß¡ Ãæ ÊÔÊÑß İí ãíÒÇäíÉ ãÚ ÃÔÎÇÕ ÂÎÑíä Ãæ ÊÔÊÑí İŞØ áäİÓß¿",yes,,,quick,,,,,,,,,,,
text,domestic_consumption_purchase_forwhom_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,${domestic_consumption_purchase_forwhom}='other',,,,,,,,,,,,
begin_group,hh_expenditures,"During the past 30 days, how much did you spend, in LYD, on each of the following categories of items for domestic consumption? For each, please estimate the total amount you spent using all modalities (cash, credit, cheques, etc.).","Au cours des 30 derniers jours, combien avez-vous dépensé, en LYD, pour chacune des catégories suivantes d'articles destinés à la consommation intérieure? Pour chacun d'eux, veuillez estimer le montant total que vous avez dépensé en utilisant toutes les modalités (espèces, crédit, chèques, etc.).","ÎáÇá ÇáËáÇËíä íæãğÇ ÇáãÇÖíÉ¡ ãÇ åæ ÇáãÈáÛ ÇáĞí ÃäİŞÊå ÈÇáÏíäÇÑ ÇááíÈí Úáì ßá İÆÉ ãä İÆÇÊ ÇáãæÇÏ ÇáÊÇáíÉ ááÇÓÊåáÇß ÇáãÍáí¿ áßá ãäåÇ¡ íÑÌì ÊŞÏíÑ ÇáãÈáÛ ÇáÅÌãÇáí ÇáĞí ÃäİŞÊå ÈÇÓÊÎÏÇã ÌãíÚ ÇáØÑÇÆŞ (ÇáäŞÏ¡ æÇáÇÆÊãÇä¡ æÇáÔíßÇÊ¡ æãÇ Åáì Ğáß).",yes,,,field-list,,,,,,,,,,,
integer,food_expenditure,1. Food items,1. produits alimentaires,ÇáãæÇÏ ÇáÛĞÇÆíÉ,yes,,,,.>=0,,,,,,,,,,
integer,rent_expenditure,2. Rent,2. Loyer,ÇáÅíÌÇÑ,yes,,${occupancy_status}='rental_written_contract' or ${occupancy_status}='rental_verbal_agreement',,.>=0,,,,,,,,,,
integer,shelter_maintenance_expenditure,3. Shelter maintenance,3. Entretien des abris,ÕíÇäÉ ÇáãÓßä,yes,,,,.>=0,,,,,,,,,,
integer,water_expenditure,4. Water (from all sources combined),4. Eau (de toutes les sources confondues),ÇáãíÇå (ãä ÌãíÚ ÇáãÕÇÏÑ ãÌÊãÚÉ),yes,,,,.>=0,,,,,,,,,,
integer,nfi_expenditure,"5. Non-food household items (hygiene items, blankets, lightbulbs, etc.)","5. Articles ménagers non alimentaires (articles d'hygiène, couvertures, ampoules, etc.)","ÇáÃÏæÇÊ ÇáãäÒáíÉ ÛíÑ ÇáÛĞÇÆíÉ (ãÓÊáÒãÇÊ ÇáäÙÇİÉ¡ ÇáÈØÇäíÇÊ¡ ÇáãÕÇÈíÍ¡ ÅáÎ)",yes,,,,.>=0,,,,,,,,,,
integer,utilities_expenditure,6. Utilities (electricity and gas connections),6. Services publics (connexions électriques et gazières),ÇáãÑÇİŞ (ÊæÕíáÇÊ ÇáßåÑÈÇÁ æÇáÛÇÒ),yes,,,,.>=0,,,,,,,,,,
integer,fuel_expenditure,"7. Fuel (for cooking, for vehicles, etc.)","7. Carburant (pour la cuisine, pour les véhicules, etc.)","ÇáæŞæÏ (ááØåí¡ ááãÑßÈÇÊ¡ ÅáÎ)",yes,,,,.>=0,,,,,,,,,,
integer,health_related_expenditure,"8. Health-related expenditures (healthcare, medicine, etc.)","8. Dépenses liées à la santé (soins de santé, médicaments, etc.)","ÇáäİŞÇÊ ÇáãÊÚáŞÉ ÈÇáÕÍÉ (ÇáÑÚÇíÉ ÇáÕÍíÉ¡ ÇáØÈ¡ ÅáÎ)",yes,,,,.>=0,,,,,,,,,,
integer,education_related_expenditure,"9. Education-related expenditures (school fees, supplies, uniforms, etc.)","9. Dépenses liées à l'éducation (frais scolaires, fournitures, uniformes, etc.)","ÇáäİŞÇÊ ÇáãÊÚáŞÉ ÈÇáÊÚáíã (ÇáÑÓæã ÇáãÏÑÓíÉ¡ ÇááæÇÒã¡ ÇáÒí ÇáÑÓãí¡ ÅáÎ)",yes,,${nb_under18}>0,,.>=0,,,,,,,,,,
integer,transportation_expenditure,10. Transportation ,10. Transport , ÇáäŞá,yes,,,,.>=0,,,,,,,,,,
integer,mobile_phone_credit_expenditure,11. Mobile phone credit,11. Crédit de téléphone mobile,ßÑæÊ ÔÍä ááåÇÊİ ÇáÌæÇá,yes,,,,.>=0,,,,,,,,,,
integer,productive_assets_expenditure,"12. Productive assets (items used to help generate income, such as sewing machines, tools, etc.)","12. Actifs productifs (éléments utilisés pour générer des revenus, tels que machines à coudre, outils, etc.)"," ÇáÃÕæá ÇáÅäÊÇÌíÉ (ÇáÚäÇÕÑ ÇáãÓÊÎÏãÉ ááãÓÇÚÏÉ İí ÊæáíÏ ÇáÏÎá¡ ãËá ÂáÇÊ ÇáÎíÇØÉ¡ æÇáÃÏæÇÊ¡ æãÇ Åáì Ğáß)",yes,,,,.>=0,,,,,,,,,,
integer,debt_repayment_expenditure,13. Debt repayment,13. Remboursement la dette, ÓÏÇÏ ÇáÏíæä,yes,,,,.>=0,,,,,,,,,,
integer,other_expenditure,14. All other expenditures (specify),14. Toutes les autres dépenses (préciser), ÌãíÚ ÇáäİŞÇÊ ÇáÃÎÑì (íÑÌì ÇáÊÍÏíÏ),yes,,,,.>=0,,,,,,,,,,
end_group,,,,,,,,,,,,,,,,,,,
text,hh_expenditures_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,${other_expenditure}>0,,,,,,,,,,,,
integer,hh_total_debt,what is your total amount of debt (in LYD)?,"Si vous remboursez votre dette, quel est votre montant total de la dette (en LYD)?
",ãÇ åæ ÅÌãÇáí Ïíäß (ÈÇáÏíäÇÑ ÇááíÈí)¿,yes,,${debt_repayment_expenditure}>0,,.>=0,,,,,,,,,,
select_one debt_primary_reason,debt_primary_reason,What was the primary reason for taking on debt?,quelle est la principale raison d'endettement?,ãÇ åæ ÇáÓÈÈ ÇáÑÆíÓí áÊÍãá ÇáÏíæä¿,yes,,${debt_repayment_expenditure}>0,quick,"if(${occupancy_status}!='rental_written_contract' or ${occupancy_status}!='rental_verbal_agreement', . != 'paynig_rent', count-selected(.)=1)",The house is not rented. Please check your answers,La maison n'est pas louée. S'il vous plaît vérifier vos réponses,ÇáãäÒá ÛíÑ ãÓÊÃÌÑ. íÑÌì ÇáÊÍŞŞ ãä ÅÌÇÈÇÊß,,,,,,,
text,debt_primary_reason_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,${debt_primary_reason}='other',,,,,,,,,,,,
integer,send_money_family,What percentage of your income would you estimate you send to family in your country of origin per month?,quel pourcentage de ton revenue vous estimeriez envoyer à votre famille dans votre pays d'origine par mois?,ãÇ åí ÇáäÓÈÉ ÇáãÆæíÉ ãä ÏÎáß ÇáÊí ÊŞÏÑ ÈÃäß ÊÑÓáåÇ Åáì ÚÇÆáÊß İí ÈáÏß ÇáÃÕáí ßá ÔåÑ¿,yes,,${cash_income_modality}>0,,.>=0 and .<= 100,,,,,,,,,,
integer,save_money,what percentage of your income would you estimate you save in Libya (do not spend/send) per month?,quel pourcentage de cet argent pensez-vous que vous économisez en Libye (ni dépensé/ni envoyé) par mois?,ãÇ åí ÇáäÓÈÉ ÇáãÆæíÉ ãä ÏÎáß ÇáÊí ÓÊÏÎÑåÇ İí áíÈíÇ (áÇ ÊäİŞ / áÇ ÊÑÓá)  ßá ÔåÑ¿,yes,,${cash_income_modality}>0,,. + ${send_money_family} <=100,the sum of the 2 percentages should be equal or less than 100,la somme des 2 pourcentages doit être égale ou inférieure à 100,íÌÈ Ãä Êßæä ÇáäÓÈÊÇä ÇáãÆæíÊÇä ãÊÓÇæíÉ Ãæ ÃŞá ãä 100,,,,,,,
select_one payment_modality,payment_modality,What was the payment modality most commonly used by your household in the past 30 days?,Quelle était la modalité de paiement que vous avez le plus souvent utilisée au cours des 30 derniers jours?,ãÇ ØÑíŞÉ ÇáÏİÚ ÇáÃÓÇÓíÉ (ÇáÃßËÑ ÇÓÊÚãÇáÇ)  İí ÇáËáÇËíä íæãÇ ÇáãÇÖíÉ¿,yes,,,quick,,,,,,,,,,,
text,payment_modality_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,${payment_modality}='other',,,,,,,,,,,,
select_one yes_no_dk_dwta,access_marketplace,Do you have access to a marketplace or grocery store where you can find fresh produce in your mahalla or close to your mahalla?,Avez-vous accès à un marché ou à une épicerie où vous pouvez trouver des produits frais dans votre mahalla ou près de votre mahalla ?,åá íãßäß ÇáæÕæá Åáì ÇáÓæŞ Ãæ ãÍá ÇáÈŞÇáÉ ÍíË íãßäß ÇáÚËæÑ Úáì ÇáãäÊÌÇÊ ÇáØÇÒÌÉ İí ÇáãÍáÉ ÇáÎÇÕÉ Èß Ãæ ÈÇáŞÑÈ ãä ÇáãÍáÉ ÇáÎÇÕÉ Èß¿,yes,,,quick,,,,,,,,,,,
select_one means_transportation,means_transportation,What means of transport do you usually use to travel to the nearest marketplace or grocery store where you can find fresh produce?,Quel moyen de transport utilisez-vous habituellement pour vous rendre au marché ou à l'épicerie le plus proche où vous pouvez trouver des produits frais ?,ãÇ æÓíáÉ ÇáäŞá ÇáÊí ÊÓÊÎÏãåÇ ÚÇÏÉ ááÓİÑ Åáì ÃŞÑÈ ÓæŞ Ãæ ãÊÌÑ ÈŞÇáÉ ÍíË íãßäß ÇáÚËæÑ Úáì ÇáãäÊÌÇÊ ÇáØÇÒÌÉ¿,yes,,${access_marketplace}='yes',quick,"if(selected(${access_marketplace},'yes'),.!='no_way_to_get_there',count-selected(.)=1)",you mentionned before that you have access to the market,vous avez mentionné auparavant que vous avez accès au marché,áŞÏ ĞßÑÊ ãä ŞÈá Ãäå íãßäß ÇáæÕæá Åáì ÇáÓæŞ,,,,,,,
text,means_transportation_other,"If other, Please specify","Si autre, veuillez préciser","ÃÎÑì¡ ÑÌÇÁ ÇáÊÍÏíÏ",yes,,${means_transportation}='other',,,,,,,,,,,,
